"v1","v2","v3","v7","v8","v9","v10","v11","v12","v15","classLabel"
"a",-0.6845476381104887,-0.6364810033198082,"bb",0.23059360730593603,"f","f",0,"f",456,"no."
"a",-1.3714971977582067,-1.0284028033935817,"v",-0.5684931506849316,"f","f",0,"f",18,"no."
"a",0.9703763010408324,-0.2519365547768352,"h",-0.5684931506849316,"f","f",0,"t",0,"no."
"a",-0.19695756605284234,-0.8439690151235706,"h",-0.7876712328767124,"f","t",3,"f",33,"no."
"b",-1.2514011208967175,-0.5442641091848027,"v",-0.7876712328767124,"f","f",0,"t",40,"no."
"a",0.45636509207365855,-0.1753965326447805,"v",2.2853881278538815,"t","f",0,"t",0,"no."
"b",-0.8174539631705365,-0.9592401327923277,"v",-0.43493150684931514,"f","t",1,"t",9,"no."
"a",1.2906325060048036,-0.8209147915898194,"j",-0.7968036529680366,"t","f",0,"t",27,"no."
"b",-0.4043234587670139,-0.8209147915898194,"v",-0.28310502283105027,"f","t",1,"t",3,"no."
"a",-1.3114491593274622,-0.8670232386573221,"v",-0.7397260273972603,"f","t",1,"f",98,"no."
"b",-0.5772618094475581,-0.6899668019181114,"v",0.11643835616438351,"t","f",0,"f",0,"no."
"b",0.30344275420336264,-0.7286978974548138,"v",-0.7397260273972603,"f","f",0,"t",0,"no."
"b",-0.5372297838270617,-0.9435632607893767,"v",-0.5308219178082192,"f","f",0,"f",0,"no."
"a",1.1505204163330662,-0.9592401327923277,"h",-0.16894977168949776,"t","t",1,"f",892,"yes."
"a",0.06325060048038424,-1.0284028033935817,"v",-0.7111872146118722,"f","f",0,"f",44,"yes."
"b",0.9703763010408324,0.47012172630025817,"h",2.3995433789954337,"t","t",1,"t",2000,"yes."
"b",0.02321857485988784,-0.9057543341940243,"h",0.687214611872146,"t","f",0,"t",31285,"yes."
"a",-0.6309047237790234,-0.9361859092585763,"h",-0.5593607305936074,"t","f",0,"t",5860,"yes."
"b",-0.4971977582065653,-0.7748063445223164,"v",-0.5684931506849316,"t","t",5,"t",5777,"yes."
"b",1.2506004803843072,-0.3137218738472889,"v",-0.7682648401826485,"t","f",0,"t",0,"yes."
"b",0.3634907926341072,-0.7213205459240134,"v",-0.7876712328767124,"t","f",0,"t",5800,"yes."
"b",-1.191353082465973,-1.067133898930284,"n",-0.7488584474885845,"f","f",0,"f",40,"yes."
"a",1.8911128903122496,1.8533751383253414,"ff",-0.7968036529680366,"t","t",15,"f",247,"yes."
"b",-0.5708566853482788,-1.0053485798598303,"v",-0.46347031963470325,"t","t",5,"t",0,"yes."
"a",-0.8246597277822261,0.8850977499077832,"v",-0.702054794520548,"t","t",5,"t",560,"yes."
"b",0.02321857485988784,-0.5368867576540022,"h",-0.33105022831050235,"t","t",1,"t",18027,"yes."
"b",-0.07045636509207387,-0.7748063445223164,"h",-0.7876712328767124,"t","f",0,"t",0,"yes."
"a",0.6365092073658923,0.746772408705275,"h",-0.3972602739726028,"t","f",0,"f",837,"yes."
"b",2.144915932746197,-0.8135374400590188,"v",-0.7682648401826485,"t","f",0,"t",0,"yes."
"b",0.7702161729383504,-0.19107340464773154,"v",-0.07420091324200917,"t","f",0,"t",1442,"yes."
"a",-0.38430744595676575,1.6689413500553303,"z",-0.7968036529680366,"t","f",0,"f",13212,"yes."
"a",0.3899119295436347,-0.08317963850977492,"v",-0.7682648401826485,"t","f",0,"t",0,"yes."
"b",1.6845476381104882,0.6776097381040208,"v",1.1815068493150682,"t","t",5,"f",0,"yes."
"b",1.1841473178542834,-1.0440796753965327,"bb",2.627853881278539,"t","t",20,"f",15000,"yes."
"b",-0.7710168134507608,-0.9131316857248247,"v",-0.6061643835616439,"t","f",0,"f",0,"yes."
"b",-0.8174539631705365,-0.6291036517890078,"h",-0.2066210045662101,"t","f",0,"f",0,"yes."
"b",1.7373899119295433,0.6388786425673183,"ff",2.4942922374429224,"t","t",11,"t",300,"yes."
"b",0.10968775020015992,-0.5442641091848027,"h",0.8961187214611872,"t","f",0,"t",0,"yes."
"b",-0.42433947157726215,-0.7213205459240134,"v",-0.34018264840182655,"t","t",3,"t",560,"yes."
"a",1.0504403522818253,-0.35983032091479156,"j",-0.7968036529680366,"t","f",0,"f",960,"yes."
"a",2.2449959967974378,-0.1753965326447805,"v",0.11643835616438351,"t","t",4,"f",99,"yes."
"a",1.1641313050440352,-0.5442641091848027,"v",2.3710045662100456,"t","t",2,"t",1704,"yes."
"b",0.35628502802241757,0.10125414976023604,"h",0.17351598173515978,"t","t",12,"t",0,"yes."
"a",0.029623698959167128,-0.6364810033198082,"v",-0.22602739726027402,"f","f",0,"t",2,"no."
"a",-0.6645316253002406,-0.9739948358539285,"h",-0.3972602739726028,"t","f",0,"f",0,"no."
"b",-0.8847077662129706,-0.8135374400590188,"v",-0.7773972602739727,"f","f",0,"t",0,"no."
"b",-1.4179343474779824,0.19347104389524164,"v",-0.5684931506849316,"f","f",0,"f",0,"no."
"b",-0.7974379503602883,-0.5138325341202509,"v",-0.7591324200913243,"f","f",0,"f",1058,"no."
"a",2.931945556445156,0.009037255625230462,"ff",-0.7968036529680366,"f","f",0,"f",0,"no."
"b",0.00960768614891893,-0.6364810033198082,"v",0.8013698630136986,"f","f",0,"t",0,"no."
"a",-0.791032826261009,-0.7591294725193657,"j",-0.7968036529680366,"f","t",1,"f",53,"no."
"b",-0.8710968775020018,-0.9518627812615272,"v",-0.7305936073059361,"f","t",1,"f",283,"no."
"b",-0.6509207365892716,-0.99797122832903,"v",-0.5684931506849316,"f","f",0,"t",1,"no."
"b",-0.9711769415532427,-0.15971966064182969,"v",-0.7305936073059361,"f","f",0,"f",184,"no."
"b",-0.791032826261009,-0.9592401327923277,"v",-0.6826484018264841,"t","f",0,"t",0,"no."
"b",-0.977582065652522,-0.9435632607893767,"v",-0.34018264840182655,"f","f",0,"t",0,"no."
"b",1.2706164931945554,3.759498340095906,"ff",-0.7968036529680366,"t","f",0,"t",0,"no."
"b",1.517213771016813,-0.5442641091848027,"ff",-0.45433789954337905,"f","f",0,"f",4,"no."
"b",-0.8110488390712572,1.0234230911102915,"v",-0.702054794520548,"f","f",0,"f",0,"no."
"a",-1.1977582065652523,0.7855035042419772,"ff",-0.7968036529680366,"f","f",0,"f",50,"no."
"a",-0.4171337069655725,-0.7213205459240134,"v",-0.7397260273972603,"f","f",0,"t",50,"no."
"b",-0.33066453162530046,-0.8209147915898194,"v",-0.45433789954337905,"t","f",0,"t",225,"no."
"b",0.3899119295436347,0.19347104389524164,"h",1.8287671232876712,"t","t",7,"t",5,"no."
"b",-0.33066453162530046,-0.882700110660273,"v",-0.6826484018264841,"t","f",0,"f",0,"no."
"b",-0.7510008006405126,-0.5903725562523054,"ff",0.23059360730593603,"f","f",0,"f",25,"no."
"a",-0.27061649319455583,-0.897454813721874,"v",-0.5684931506849316,"f","f",0,"f",13,"no."
"a",-0.07686148919135315,-0.5212098856510513,"ff",-0.10273972602739731,"f","t",2,"t",4,"no."
"b",-1.124899919935949,-1.0210254518627813,"v",-0.7591324200913243,"f","t",1,"f",1,"no."
"b",-0.490792634107286,-0.2676134267797861,"bb",-0.22602739726027402,"f","f",0,"f",1210,"no."
"a",-0.4571657325860689,-0.8670232386573221,"ff",-0.7968036529680366,"f","t",1,"f",300,"no."
"b",1.144115292233787,-0.021394319439321206,"v",0.45890410958904104,"f","f",0,"f",150,"no."
"b",-0.7309847878302644,-1.0210254518627813,"v",-0.7876712328767124,"f","t",2,"f",6,"no."
"b",0.6965572457966369,-0.7748063445223164,"v",-0.7488584474885845,"t","f",0,"f",0,"no."
"b",-0.5244195356285032,1.300073773515308,"dd",-0.7968036529680366,"f","f",0,"t",1110,"no."
"b",0.5236188951160928,-0.7821836960531169,"v",-0.7591324200913243,"f","f",0,"f",0,"no."
"b",0.18975180144115272,-0.5138325341202509,"h",0.05936073059360726,"t","f",0,"t",0,"no."
"b",-1.124899919935949,-0.44466986351899673,"ff",-0.7968036529680366,"f","f",0,"t",1,"no."
"b",0.9567654123298636,0.19347104389524164,"v",-0.42579908675799094,"f","f",0,"f",2,"no."
"b",1.430744595676541,-0.9896717078568795,"ff",-0.7968036529680366,"f","f",0,"f",0,"no."
"b",-1.0976781425140112,-0.35983032091479156,"v",-0.5684931506849316,"f","f",0,"t",1000,"no."
"b",-0.9111289031224982,1.0234230911102915,"v",-0.6826484018264841,"t","f",0,"t",68,"no."
"a",-0.9975980784627703,-0.9435632607893767,"v",-0.43493150684931514,"t","t",1,"f",0,"yes."
"a",0.9039231385108085,0.1316857248247879,"v",0.886986301369863,"t","t",3,"t",0,"yes."
"b",0.14971977582065632,1.6689413500553303,"n",0.43036529680365293,"t","t",9,"t",134,"yes."
"b",-0.991192954363491,0.746772408705275,"v",-0.22602739726027402,"t","f",0,"f",0,"yes."
"b",-0.8174539631705365,-1.067133898930284,"j",-0.28310502283105027,"f","f",0,"t",0,"yes."
"b",-0.8646917534027225,-0.9444854297307268,"h",-0.3025114155251142,"f","f",0,"t",0,"yes."
"b",0.796637309847878,-0.24455920324603464,"v",0.24885844748858446,"t","f",0,"f",0,"yes."
"a",-1.1176941553242594,0.6084470675027667,"v",-0.5684931506849316,"t","t",4,"t",500,"yes."
"a",-0.977582065652522,-0.5442641091848027,"v",-0.7591324200913243,"t","t",3,"f",6,"yes."
"a",-0.044035228182546376,-0.99797122832903,"v",-0.7876712328767124,"t","f",0,"f",11177,"yes."
"b",-0.3170536429143315,1.6689413500553303,"h",0.42123287671232873,"t","t",11,"f",2283,"yes."
"a",1.597277822257806,1.6689413500553303,"v",0.45890410958904104,"t","t",14,"f",2200,"yes."
"a",-0.977582065652522,-0.7591294725193657,"v",-0.32077625570776264,"t","t",5,"f",2503,"yes."
"b",0.26981585268214553,-0.1753965326447805,"bb",-0.22602739726027402,"t","t",6,"f",367,"yes."
"a",-1.00480384307446,0.746772408705275,"h",-0.5684931506849316,"t","t",4,"f",1465,"yes."
"b",-0.5708566853482788,-0.9592401327923277,"bb",-0.7397260273972603,"t","f",0,"f",23,"yes."
"a",-0.3771016813450761,-1.0284028033935817,"v",-0.6632420091324202,"t","t",4,"f",0,"yes."
"b",-0.7173738991192955,-0.9749170047952784,"v",-0.7591324200913243,"f","f",0,"f",0,"yes."
"b",1.8510808646917531,1.2078568793803026,"h",1.0296803652968036,"t","f",0,"t",2028,"yes."
"a",-0.9711769415532427,0.7928808557727778,"v",-0.634703196347032,"t","t",2,"t",0,"yes."
"a",-0.19055244195356305,0.10125414976023604,"bb",0.11643835616438351,"t","t",7,"t",3065,"yes."
"a",1.0368294635708564,0.8389893028402803,"v",0.34474885844748854,"t","t",7,"t",0,"yes."
"b",0.48999199359487566,-0.1753965326447805,"v",0.0022831050228310015,"t","t",10,"t",0,"yes."
"b",-0.8646917534027225,0.9312061969752861,"v",-0.6449771689497718,"t","f",0,"f",0,"yes."
"b",-0.3706965572457968,-0.15234230911102906,"v",0.2876712328767123,"t","t",2,"f",7,"yes."
"a",-1.124899919935949,-0.283290298782737,"h",-0.11187214611872151,"t","f",0,"f",0,"yes."
"a",-0.33706965572457975,-0.9057543341940243,"v",-0.22602739726027402,"t","t",5,"t",1430,"yes."
"a",-0.8310648518815054,0.46274437476945773,"v",-0.23515981735159824,"f","f",0,"f",0,"yes."
"b",0.2562049639711766,-0.6291036517890078,"ff",-0.7968036529680366,"f","f",0,"f",1000,"no."
"b",-1.0312249799839874,-0.8670232386573221,"v",-0.7682648401826485,"f","f",0,"f",4,"no."
"b",0.830264211369095,3.5520103282921434,"h",-0.7488584474885845,"t","t",1,"f",90,"no."
"b",1.5572457966373094,-0.8439690151235706,"h",1.363013698630137,"t","f",0,"t",100,"no."
"b",-1.0848678943154526,0.9155293249723351,"bb",-0.6632420091324202,"f","t",2,"t",7,"no."
"b",-0.7445956765412333,-1.0127259313906307,"v",-0.1974885844748859,"t","t",6,"t",347,"no."
"b",2.9055244195356282,0.5623386204352637,"ff",0.11643835616438351,"f","t",1,"f",6,"no."
"a",-0.6373098478783027,-0.8670232386573221,"ff",-0.7968036529680366,"t","f",0,"f",0,"no."
"a",-0.7445956765412333,-0.9896717078568795,"ff",-0.7682648401826485,"f","f",0,"f",87,"no."
"b",-1.0312249799839874,-1.097565473994836,"v",-0.6826484018264841,"f","f",0,"f",0,"no."
"a",-0.07045636509207387,0.009037255625230462,"v",-0.5114155251141553,"f","f",0,"f",0,"no."
"b",-0.4043234587670139,-0.9131316857248247,"h",-0.11187214611872151,"f","f",0,"f",537,"no."
"b",-0.24419535628502836,-0.8670232386573221,"v",-0.7397260273972603,"f","f",0,"f",0,"no."
"b",-0.5772618094475581,-1.0440796753965327,"v",-0.45433789954337905,"f","f",0,"t",0,"no."
"b",-0.13050440352281845,-0.5746956842493545,"ff",-0.7968036529680366,"f","t",5,"f",146,"no."
"b",-0.7846277021617297,-0.6364810033198082,"ff",-0.7773972602739727,"f","f",0,"t",4208,"no."
"b",-0.15052041633306665,-0.7130210254518627,"v",-0.7773972602739727,"f","f",0,"f",0,"no."
"b",-0.8574859887910329,-0.9896717078568795,"ff",-0.7968036529680366,"f","f",0,"f",0,"no."
"b",0.9839871897518013,-0.8209147915898194,"v",-0.22602739726027402,"t","f",0,"t",0,"no."
"b",0.06325060048038424,-0.8670232386573221,"v",-0.5308219178082192,"f","f",0,"f",0,"no."
"b",0.6164931945556441,-0.8209147915898194,"bb",-0.7968036529680366,"f","f",0,"f",0,"no."
"b",-1.3250600480384311,-0.34415344891184063,"h",-0.702054794520548,"f","f",0,"t",0,"no."
"b",0.2297838270616491,-0.6521578753227593,"v",-0.7682648401826485,"f","t",2,"f",1,"no."
"b",1.3370696557245794,2.4066765031353743,"ff",-0.7968036529680366,"t","t",1,"f",0,"no."
"a",-0.21056845476381125,-0.08317963850977492,"v",0.45890410958904104,"f","f",0,"t",0,"no."
"b",0.14331465172137703,-0.898376982663224,"v",-0.5308219178082192,"f","f",0,"f",0,"no."
"a",1.3907125700560445,-0.9435632607893767,"v",-0.6826484018264841,"f","f",0,"t",117,"no."
"a",1.9775820656525216,-0.7286978974548138,"ff",0.687214611872146,"f","t",1,"f",10,"no."
"a",-0.6445156124899923,-0.2676134267797861,"v",-0.5684931506849316,"f","f",0,"t",6,"no."
"b",-0.8510808646917536,0.5623386204352637,"v",-0.7773972602739727,"f","f",0,"f",0,"no."
"b",-0.9447558046437153,0.7624492807082259,"h",-0.5114155251141553,"f","f",0,"f",0,"no."
"a",1.5444355484387509,-1.097565473994836,"ff",-0.7968036529680366,"f","f",0,"f",0,"no."
"a",-0.7445956765412333,1.0234230911102915,"h",-0.11187214611872151,"f","f",0,"t",16,"no."
"b",-0.9111289031224982,0.700663961637772,"v",-0.7397260273972603,"t","f",0,"f",0,"no."
"a",-0.35068054443554864,-0.5368867576540022,"h",-0.21689497716894982,"t","t",1,"f",0,"yes."
"b",-1.0976781425140112,0.6545555145702694,"v",-0.45433789954337905,"t","f",0,"f",2206,"yes."
"a",-0.9111289031224982,0.009037255625230462,"v",-0.22602739726027402,"t","t",3,"f",918,"yes."
"b",-1.2313851080864693,2.9599778679454083,"o",-0.7968036529680366,"f","f",0,"t",100000,"yes."
"b",-0.4971977582065653,-0.597749907783106,"v",0.4018264840182648,"t","t",1,"f",0,"yes."
"b",0.12329863891112883,-0.3137218738472889,"bb",-0.05479452054794526,"t","t",2,"f",610,"yes."
"b",3.245796637309848,2.176134267797861,"ff",-0.7968036529680366,"t","f",0,"t",0,"yes."
"a",-0.791032826261009,1.0695315381777943,"h",-0.6826484018264841,"t","t",2,"t",551,"yes."
"b",-0.7846277021617297,-0.6364810033198082,"v",-0.5490867579908677,"t","t",11,"t",2184,"yes."
"b",-1.077662129703763,0.10125414976023604,"h",-0.46347031963470325,"t","t",7,"f",2954,"yes."
"b",-0.7646116893514815,1.0464773146440427,"v",-0.6061643835616439,"t","f",0,"t",300,"yes."
"b",0.743795036028823,-0.1680191811139801,"h",2.1141552511415527,"t","f",0,"t",0,"yes."
"b",-0.9311449159327464,-0.8209147915898194,"v",-0.45433789954337905,"f","f",0,"f",8,"yes."
"b",0.10328262610088064,-0.1292880855772778,"v",-0.7773972602739727,"f","f",0,"t",6,"yes."
"a",1.1905524419535627,0.3779048321652528,"v",1.0011415525114156,"t","t",6,"t",1260,"yes."
"a",0.9167333867093671,-1.097565473994836,"v",-0.22602739726027402,"t","f",0,"f",0,"yes."
"b",0.5300240192153721,-0.3137218738472889,"bb",0.687214611872146,"t","t",16,"f",1210,"yes."
"a",0.6637309847878302,0.10125414976023604,"v",-0.6826484018264841,"t","t",3,"t",0,"yes."
"b",-0.23698959167333875,-0.7591294725193657,"h",0.1929223744292237,"t","f",0,"f",200,"yes."
"b",0.18334667734187343,-0.6364810033198082,"v",0.23059360730593603,"t","t",7,"f",1270,"yes."
"a",-1.0976781425140112,0.4857985983032092,"h",-0.6255707762557078,"t","t",7,"f",0,"yes."
"b",1.5708566853482784,0.10125414976023604,"v",0.639269406392694,"t","t",15,"f",11202,"yes."
"b",0.5636509207365892,0.04776835116193293,"v",-0.7876712328767124,"t","t",1,"f",300,"yes."
"b",-0.9247397918334671,0.8389893028402803,"v",-0.11187214611872151,"t","f",0,"t",0,"yes."
"a",0.2297838270616491,-0.9288085577277758,"v",-0.6255707762557078,"t","t",4,"f",1583,"yes."
"b",2.7918334667734186,-0.08317963850977492,"z",2.171232876712329,"t","t",1,"t",0,"yes."
"b",-0.016813450760608556,0.5623386204352637,"h",0.4018264840182648,"t","f",0,"t",0,"yes."
"b",1.3306645316253,0.30136481003319804,"bb",0.934931506849315,"t","t",15,"t",5000,"yes."
"b",-0.9511609287429946,-0.5442641091848027,"v",-0.5490867579908677,"t","t",8,"t",1,"yes."
"a",1.5708566853482784,0.19347104389524164,"h",-0.11187214611872151,"f","f",0,"f",0,"no."
"a",0.029623698959167128,-0.5442641091848027,"v",-0.34018264840182655,"f","f",0,"f",0,"no."
"b",-1.1649319455564455,-0.8744005901881226,"dd",-0.7968036529680366,"f","f",0,"f",0,"no."
"b",-0.27061649319455583,-0.9905938767982295,"v",-0.7305936073059361,"f","t",1,"f",2803,"no."
"b",-0.8574859887910329,-0.682589450387311,"v",-0.7682648401826485,"f","f",0,"f",10,"no."
"b",-0.7974379503602883,-1.066211729988934,"v",-0.7773972602739727,"f","f",0,"f",0,"no."
"b",-1.077662129703763,0.2395794909627443,"v",-0.7876712328767124,"f","t",1,"f",1,"no."
"b",-0.5372297838270617,1.2078568793803026,"h",-0.5114155251141553,"f","f",0,"t",17,"no."
"b",-0.42433947157726215,-0.49815566211729995,"h",0.36415525114155245,"f","t",2,"t",1,"no."
"b",-1.3514811849479587,-0.5212098856510513,"v",-0.7773972602739727,"f","t",1,"f",6,"no."
"a",-0.34427542033626934,-0.40593876798229434,"v",-0.7397260273972603,"f","t",1,"t",154,"no."
"a",0.4699759807846275,-0.8209147915898194,"ff",-0.7968036529680366,"f","f",0,"f",0,"no."
"b",-0.06405124099279458,-0.35983032091479156,"v",-0.45433789954337905,"f","f",0,"t",0,"no."
"b",-1.1713370696557248,-1.067133898930284,"v",-0.7397260273972603,"f","f",0,"t",0,"no."
"a",-0.8911128903122499,-0.7748063445223164,"j",-0.7968036529680366,"f","f",0,"f",0,"no."
"b",-1.1449159327461973,-0.04444854297307265,"v",-0.6735159817351599,"f","f",0,"f",0,"no."
"b",-0.791032826261009,-0.9592401327923277,"v",-0.6826484018264841,"f","f",0,"t",0,"no."
"a",-0.8174539631705365,-0.9592401327923277,"v",-0.34018264840182655,"f","t",2,"t",394,"no."
"b",-0.791032826261009,-0.9822943563260791,"v",-0.7682648401826485,"t","f",0,"f",1,"no."
"b",-0.8510808646917536,-1.0127259313906307,"v",-0.7682648401826485,"f","f",0,"t",55,"no."
"a",1.6373098478783024,-1.067133898930284,"ff",-0.7968036529680366,"f","f",0,"t",27,"no."
"a",-0.6709367493995199,-0.6521578753227593,"v",-0.7968036529680366,"f","f",0,"f",0,"no."
"b",-0.5572457966373099,-0.9361859092585763,"v",-0.7111872146118722,"f","t",2,"t",3,"no."
"b",-1.3250600480384311,-0.5903725562523054,"v",-0.6449771689497718,"f","t",1,"f",21,"no."
"b",0.08967173738991173,-0.2676134267797861,"v",-0.5684931506849316,"t","f",0,"t",0,"no."
"b",1.3042433947157726,-0.6752120988565105,"ff",-0.7305936073059361,"f","f",0,"f",3,"no."
"a",-0.7510008006405126,-0.8209147915898194,"v",-0.5970319634703197,"f","f",0,"t",0,"no."
"a",-1.0648518815052044,-0.9749170047952784,"v",-0.41666666666666674,"f","f",0,"f",5,"no."
"b",-0.9375500400320257,-1.097565473994836,"v",-0.6826484018264841,"f","f",0,"t",0,"no."
"a",0.4363490792634104,-0.283290298782737,"v",-0.7682648401826485,"f","f",0,"f",0,"no."
"b",0.3698959167333865,-0.9435632607893767,"v",-0.7876712328767124,"f","f",0,"f",5,"no."
"a",-0.9447558046437153,-0.1753965326447805,"ff",-0.7968036529680366,"f","f",0,"f",0,"no."
"b",-0.39071257005604504,-0.5442641091848027,"v",-0.6255707762557078,"f","f",0,"t",67,"no."
"b",-0.6172938350680545,-0.5442641091848027,"v",-0.5114155251141553,"f","t",1,"f",22,"no."
"b",0.0032025620496396435,-0.6364810033198082,"v",-0.3972602739726028,"f","t",2,"t",0,"no."
"a",-0.8110488390712572,0.03946883068978233,"v",-0.7591324200913243,"f","f",0,"f",1000,"no."
"b",-0.3706965572457968,-0.9361859092585763,"v",-0.5776255707762558,"t","t",3,"t",0,"yes."
"b",0.10328262610088064,-0.8135374400590188,"v",-0.44520547945205485,"t","t",1,"t",50000,"yes."
"b",-0.07686148919135315,-0.2749907783105865,"h",0.5821917808219178,"t","t",3,"f",300,"yes."
"a",-0.27061649319455583,-1.0127259313906307,"v",-0.6735159817351599,"t","t",4,"f",500,"yes."
"b",-0.7774219375500401,-1.097565473994836,"v",-0.7773972602739727,"t","f",0,"f",0,"yes."
"a",-1.1849479583666938,-1.0284028033935817,"ff",1.4863013698630136,"f","f",0,"t",0,"yes."
"a",-0.6509207365892716,-0.5442641091848027,"h",-0.37785388127853886,"t","t",19,"f",500,"yes."
"a",-0.9647718174539635,-0.5442641091848027,"v",-0.7876712328767124,"t","f",0,"f",0,"yes."
"b",-0.39071257005604504,-0.7286978974548138,"h",0.15410958904109584,"t","t",2,"t",0,"yes."
"b",-0.9975980784627703,-0.7591294725193657,"v",-0.28310502283105027,"t","t",1,"f",150,"yes."
"b",-0.33706965572457975,0.6241239395057174,"h",0.4965753424657534,"t","t",6,"f",168,"yes."
"b",-0.8775020016012811,-0.99797122832903,"v",-0.7876712328767124,"t","t",1,"t",59,"yes."
"b",0.830264211369095,-0.5442641091848027,"h",0.5730593607305936,"t","t",11,"f",0,"yes."
"b",-0.9975980784627703,0.19347104389524164,"v",-0.42579908675799094,"t","t",3,"f",1391,"yes."
"b",0.7301841473178541,-1.0597565473994837,"h",0.37328767123287665,"t","f",0,"f",0,"yes."
"a",-0.7574059247397918,-0.9518627812615272,"v",-0.45433789954337905,"t","t",2,"t",400,"yes."
"a",-0.6172938350680545,-0.567318332718554,"h",-0.5970319634703197,"t","f",0,"f",0,"yes."
"b",0.3698959167333865,-0.8900774621910735,"v",-0.45433789954337905,"f","f",0,"t",0,"yes."
"b",0.3098478783026419,-1.0745112504610845,"v",-0.45433789954337905,"f","f",0,"t",113,"yes."
"b",-0.3706965572457968,-0.1680191811139801,"bb",-0.45433789954337905,"t","t",8,"t",7,"yes."
"b",-0.010408326661329268,-0.8209147915898194,"h",0.45890410958904104,"t","t",3,"t",0,"yes."
"a",-1.204963971176942,0.9312061969752861,"h",-0.5684931506849316,"t","t",11,"f",3000,"yes."
"a",-0.804643714971978,-0.6752120988565105,"h",-0.27397260273972607,"t","t",7,"t",2384,"yes."
"b",-1.5316253002401923,-0.35983032091479156,"v",-0.3972602739726028,"t","t",2,"t",1000,"yes."
"a",0.6501200960768613,-0.7213205459240134,"h",-0.7682648401826485,"t","t",23,"t",1236,"yes."
"b",-0.7846277021617297,1.0234230911102915,"h",-0.31164383561643844,"t","t",11,"t",284,"yes."
"b",-1.0176140912730185,-0.060125414976023674,"v",-0.40639269406392703,"t","f",0,"f",0,"yes."
"a",1.3771016813450756,1.2152342309111028,"v",-0.27397260273972607,"t","t",3,"t",0,"yes."
"b",-0.47077662129703784,-0.9592401327923277,"h",0.17351598173515978,"t","t",3,"t",150,"yes."
"b",-0.6108887109687752,-0.9131316857248247,"v",-0.6826484018264841,"f","f",0,"f",0,"no."
"b",0.5036028823058446,-0.6364810033198082,"h",1.4863013698630136,"f","f",0,"t",0,"no."
"b",-1.0248198558847081,-1.0514570269273333,"v",-0.7682648401826485,"f","f",0,"f",0,"no."
"b",0.9103282626100878,-1.0053485798598303,"v",1.6575342465753424,"t","f",0,"f",0,"no."
"a",-0.4171337069655725,-0.8209147915898194,"v",-0.34018264840182655,"t","f",0,"f",0,"no."
"b",-0.47718174539631714,-0.682589450387311,"bb",-0.6826484018264841,"f","f",0,"t",4000,"no."
"a",-0.4443554843875103,-0.7904832165252675,"ff",-0.7968036529680366,"f","f",0,"f",1,"no."
"b",-1.3314651721377104,-0.9435632607893767,"v",-0.7773972602739727,"t","f",0,"f",0,"no."
"b",0.06325060048038424,-0.698266322390262,"v",-0.45433789954337905,"f","f",0,"f",0,"no."
