"v1";"v2";"v3";"v4";"v5";"v6";"v7";"v8";"v9";"v10";"v11";"v12";"v13";"v14";"v15";"v17";"v18";"v19";"classLabel"
"b";22,67;7,5e-05;"u";"g";"i";"v";1,585;"f";"t";1;"t";"g";400;9;4e+06;NA;0;"no."
"a";49;0,00015;"u";"g";"j";"j";0;"t";"f";0;"t";"g";100;27;1e+06;"f";0;"no."
"b";27,83;0,00015;"u";"g";"W";"v";2,25;"f";"t";1;"t";"g";100;3;1e+06;NA;0;"no."
"a";16,5;0,000125;"u";"g";"q";"v";0,25;"f";"t";1;"f";"g";108;98;1080000;"t";0;"no."
"b";25,67;0,000221;"y";"p";"aa";"v";4;"t";"f";0;"f";"g";188;0;1880000;"f";0;"no."
"b";36,67;2e-04;"u";"g";"i";"v";0,25;"f";"f";0;"t";"g";221;0;2210000;NA;0;"no."
"b";26,17;8,35e-05;"u";"g";"cc";"v";1,165;"f";"f";0;"f";"g";100;0;1e+06;"f";0;"no."
"b";NA;5e-04;"y";"p";"aa";"v";8,5;"t";"f";0;"f";"g";0;0;0;"f";0;"no."
"a";47,25;7,5e-05;"u";"g";"q";"h";2,75;"t";"t";1;"f";"g";333;892;3330000;NA;1;"yes."
"a";33,67;3,75e-05;"u";"g";"cc";"v";0,375;"f";"f";0;"f";"g";300;44;3e+06;NA;1;"yes."
"b";45;0,00085;"u";"g";"cc";"h";14;"t";"t";1;"t";"g";88;2000;880000;"t";1;"yes."
"b";33,17;0,000104;"u";"g";"r";"h";6,5;"t";"f";0;"t";"g";164;31285;1640000;NA;1;"yes."
"a";25;8,75e-05;"u";"g";"x";"h";1,04;"t";"f";0;"t";"g";160;5860;1600000;"f";1;"yes."
"b";26,67;0,000175;"y";"p";"c";"v";1;"t";"t";5;"t";"g";160;5777;1600000;NA;1;"yes."
"b";48,5;0,000425;"u";"g";"m";"v";0,125;"t";"f";0;"t";"g";225;0;2250000;NA;1;"yes."
"b";37,42;0,000204;"u";"g";"W";"v";0,04;"t";"f";0;"t";"g";400;5800;4e+06;NA;1;"yes."
"b";18;1,65e-05;"u";"g";"q";"n";0,21;"f";"f";0;"f";"g";200;40;2e+06;"f";1;"yes."
"a";56,5;0,0016;"u";"g";"j";"ff";0;"t";"t";15;"f";"g";0;247;0;"t";1;"yes."
"b";25,75;5e-05;"u";"g";"c";"v";1,46;"t";"t";5;"t";"g";312;0;3120000;"t";1;"yes."
"a";22,58;0,001075;"u";"g";"q";"v";0,415;"t";"t";5;"t";"g";0;560;0;NA;1;"yes."
"b";33,17;0,000304;"y";"p";"c";"h";2,04;"t";"t";1;"t";"g";180;18027;1800000;"t";1;"yes."
"b";32;0,000175;"y";"p";"e";"h";0,04;"t";"f";0;"t";"g";393;0;3930000;NA;1;"yes."
"a";40,83;0,001;"u";"g";"q";"h";1,75;"t";"f";0;"f";"g";29;837;290000;NA;1;"yes."
"b";59,67;0,000154;"u";"g";"q";"v";0,125;"t";"f";0;"t";"g";260;0;2600000;"f";1;"yes."
"b";42,5;0,0004915;"y";"p";"W";"v";3,165;"t";"f";0;"t";"g";52;1442;520000;NA;1;"yes."
"a";28,08;0,0015;"y";"p";"e";"z";0;"t";"f";0;"f";"g";0;13212;0;NA;1;"yes."
"a";37,75;0,00055;"u";"g";"q";"v";0,125;"t";"f";0;"t";"g";228;0;2280000;"f";1;"yes."
"b";53,92;0,0009625;"u";"g";"e";"v";8,665;"t";"t";5;"f";"g";0;0;0;NA;1;"yes."
"b";47,67;2,9e-05;"u";"g";"c";"bb";15;"t";"t";20;"f";"g";0;15000;0;"t";1;"yes."
"b";23,25;1e-04;"u";"g";"c";"v";0,835;"t";"f";0;"f";"s";300;0;3e+06;"f";1;"yes."
"b";22,67;0,000254;"y";"p";"c";"h";2,585;"t";"f";0;"f";"g";0;0;0;"f";1;"yes."
"b";54,58;0,0009415;"u";"g";"ff";"ff";14,415;"t";"t";11;"t";"g";30;300;3e+05;NA;1;"yes."
"b";34,25;3e-04;"u";"g";"cc";"h";7,415;"t";"f";0;"t";"g";0;0;0;NA;1;"yes."
"b";27,58;0,000204;"y";"p";"aa";"v";2;"t";"t";3;"t";"g";370;560;3700000;NA;1;"yes."
"a";46;4e-04;"u";"g";"j";"j";0;"t";"f";0;"f";"g";100;960;1e+06;NA;1;"yes."
"a";60,92;5e-04;"u";"g";"aa";"v";4;"t";"t";4;"f";"g";0;99;0;"t";1;"yes."
"a";47,42;3e-04;"u";"g";"x";"v";13,875;"t";"t";2;"t";"g";519;1704;5190000;NA;1;"yes."
"b";37,33;0,00065;"u";"g";"m";"h";4,25;"t";"t";12;"t";"g";93;0;930000;NA;1;"yes."
"a";33,25;0,00025;"y";"p";"c";"v";2,5;"f";"f";0;"t";"g";0;2;0;"f";0;"no."
"a";24,58;6,7e-05;"u";"g";"aa";"h";1,75;"t";"f";0;"f";"g";400;0;4e+06;NA;0;"no."
"b";21,83;0,000154;"u";"g";"k";"v";0,085;"f";"f";0;"t";"g";356;0;3560000;NA;0;"no."
"b";15,17;7e-04;"u";"g";"e";"v";1;"f";"f";0;"f";"g";600;0;6e+06;NA;0;"no."
"b";22,92;0,0003165;"y";"p";"c";"v";0,165;"f";"f";0;"f";"g";160;1058;1600000;NA;0;"no."
"a";69,5;6e-04;"u";"g";"ff";"ff";0;"f";"f";0;"f";"s";0;0;0;"f";0;"no."
"b";33;0,00025;"y";"p";"W";"v";7;"f";"f";0;"t";"g";280;0;2800000;NA;0;"no."
"a";23;0,0001835;"u";"g";"j";"j";0;"f";"t";1;"f";"g";200;53;2e+06;NA;0;"no."
"b";22;7,9e-05;"u";"g";"W";"v";0,29;"f";"t";1;"f";"g";420;283;4200000;NA;0;"no."
"b";24,75;5,4e-05;"u";"g";"m";"v";1;"f";"f";0;"t";"g";120;1;1200000;NA;0;"no."
"b";20,75;0,0005085;"y";"p";"j";"v";0,29;"f";"f";0;"f";"g";140;184;1400000;NA;0;"no."
"b";23;7,5e-05;"u";"g";"m";"v";0,5;"t";"f";0;"t";"s";320;0;3200000;NA;0;"no."
"b";20,67;8,35e-05;"y";"p";"c";"v";2;"f";"f";0;"t";"s";240;0;2400000;"f";0;"no."
"b";48,75;0,0026335;"y";"p";"ff";"ff";0;"t";"f";0;"t";"g";0;0;0;"f";0;"no."
"b";51,83;3e-04;"y";"p";"ff";"ff";1,5;"f";"f";0;"f";"g";180;4;1800000;"f";0;"no."
"b";22,75;0,00115;"u";"g";"i";"v";0,415;"f";"f";0;"f";"g";0;0;0;NA;0;"no."
"a";17,92;0,001021;"u";"g";"ff";"ff";0;"f";"f";0;"f";"g";0;50;0;NA;0;"no."
NA;42,25;0,000175;"y";"p";NA;NA;0;"f";"f";0;"t";"g";150;1;1500000;"f";0;"no."
"a";27,67;0,000204;"u";"g";"W";"v";0,25;"f";"f";0;"t";"g";180;50;1800000;"f";0;"no."
"b";28,75;0,00015;"y";"p";"c";"v";1,5;"t";"f";0;"t";"g";0;225;0;"f";0;"no."
"b";37,75;7e-04;"u";"g";"q";"h";11,5;"t";"t";7;"t";"g";300;5;3e+06;"t";0;"no."
"b";28,75;0,0001165;"u";"g";"k";"v";0,5;"t";"f";0;"f";"s";280;0;2800000;NA;0;"no."
"b";23,5;0,000275;"u";"g";"ff";"ff";4,5;"f";"f";0;"f";"g";160;25;1600000;"f";0;"no."
"a";29,5;0,0001085;"y";"p";"x";"v";1;"f";"f";0;"f";"g";280;13;2800000;NA;0;"no."
"a";31,92;0,0003125;"u";"g";"ff";"ff";3,04;"f";"t";2;"t";"g";200;4;2e+06;NA;0;"no."
"b";18,83;4,15e-05;"y";"p";"c";"v";0,165;"f";"t";1;"f";"g";200;1;2e+06;"t";0;"no."
"b";26,75;0,00045;"y";"p";"c";"bb";2,5;"f";"f";0;"f";"g";200;1210;2e+06;"f";0;"no."
"a";27,17;0,000125;"u";"g";"ff";"ff";0;"f";"t";1;"f";"g";92;300;920000;"t";0;"no."
"b";47,17;0,0005835;"u";"g";"W";"v";5,5;"f";"f";0;"f";"g";465;150;4650000;"f";0;"no."
"b";23,75;4,15e-05;"y";"p";"c";"v";0,04;"f";"t";2;"f";"g";128;6;1280000;NA;0;"no."
"b";41,58;0,000175;"u";"g";"k";"v";0,21;"t";"f";0;"f";"g";160;0;1600000;NA;0;"no."
"b";26,33;0,0013;"u";"g";"e";"dd";0;"f";"f";0;"t";"g";140;1110;1400000;"f";0;"no."
"b";39,42;0,000171;"y";"p";"m";"v";0,165;"f";"f";0;"f";"s";400;0;4e+06;NA;0;"no."
"b";35,25;0,0003165;"u";"g";"x";"h";3,75;"t";"f";0;"t";"g";680;0;6800000;"f";0;"no."
"b";18,83;0,000354;"y";"p";"ff";"ff";0;"f";"f";0;"t";"g";180;1;1800000;"f";0;"no."
"b";44,83;7e-04;"y";"p";"c";"v";1,625;"f";"f";0;"f";"g";160;2;1600000;NA;0;"no."
"b";50,75;5,85e-05;"u";"g";"ff";"ff";0;"f";"f";0;"f";"g";145;0;1450000;"f";0;"no."
"b";19,17;4e-04;"y";"p";"i";"v";1;"f";"f";0;"t";"g";360;1000;3600000;"f";0;"no."
"b";21,5;0,00115;"u";"g";"i";"v";0,5;"t";"f";0;"t";"g";100;68;1e+06;"f";0;"no."
"a";25,58;0;NA;NA;NA;NA;0;"f";"f";0;"f";"p";NA;0;NA;NA;1;"yes."
"a";20,42;8,35e-05;"u";"g";"q";"v";1,585;"t";"t";1;"f";"g";0;0;0;"t";1;"yes."
"a";44,17;0,0006665;"u";"g";"q";"v";7,375;"t";"t";3;"t";"g";0;0;0;"t";1;"yes."
"b";34,75;0,0015;"u";"g";"r";"n";5,375;"t";"t";9;"t";"g";0;134;0;NA;1;"yes."
"b";20,5;0,001;"y";"p";"c";"v";2,5;"t";"f";0;"f";"s";40;0;4e+05;NA;1;"yes."
"b";22,67;1,65e-05;"u";"g";"c";"j";2,25;"f";"f";0;"t";"s";0;0;0;NA;1;"yes."
"b";22,08;8,3e-05;"u";"g";"c";"h";2,165;"f";"f";0;"t";"g";128;0;1280000;NA;1;"yes."
"b";42,83;0,0004625;"u";"g";"q";"v";4,58;"t";"f";0;"f";"s";0;0;0;NA;1;"yes."
"a";18,92;0,000925;"y";"p";"c";"v";1;"t";"t";4;"t";"g";80;500;8e+05;"t";1;"yes."
"a";20,67;3e-04;"u";"g";"q";"v";0,165;"t";"t";3;"f";"g";100;6;1e+06;NA;1;"yes."
"a";32,33;5,4e-05;"u";"g";"cc";"v";0,04;"t";"f";0;"f";"g";440;11177;4400000;"f";1;"yes."
"b";28,92;0,0015;"u";"g";"c";"h";5,335;"t";"t";11;"f";"g";0;2283;0;NA;1;"yes."
"a";52,83;0,0015;"u";"g";"c";"v";5,5;"t";"t";14;"f";"g";0;2200;0;NA;1;"yes."
"a";20,67;0,0001835;"u";"g";"q";"v";2,085;"t";"t";5;"f";"g";220;2503;2200000;NA;1;"yes."
"b";36,25;5e-04;"u";"g";"c";"bb";2,5;"t";"t";6;"f";"g";0;367;0;NA;1;"yes."
"a";20,33;0,001;"u";"g";"c";"h";1;"t";"t";4;"f";"g";50;1465;5e+05;NA;1;"yes."
"b";25,75;7,5e-05;"u";"g";"c";"bb";0,25;"t";"f";0;"f";"g";349;23;3490000;"f";1;"yes."
"a";28,17;3,75e-05;"u";"g";"q";"v";0,585;"t";"t";4;"f";"g";80;0;8e+05;"t";1;"yes."
"b";23,92;6,65e-05;"u";"g";"c";"v";0,165;"f";"f";0;"f";"g";100;0;1e+06;NA;1;"yes."
"b";56;0,00125;"u";"g";"k";"h";8;"t";"f";0;"t";"g";24;2028;240000;NA;1;"yes."
"a";20,75;0,001025;"u";"g";"q";"v";0,71;"t";"t";2;"t";"g";49;0;490000;"t";1;"yes."
"a";30,5;0,00065;"u";"g";"c";"bb";4;"t";"t";7;"t";"g";0;3065;0;"t";1;"yes."
"a";45,83;0,00105;"u";"g";"q";"v";5;"t";"t";7;"t";"g";0;0;0;"t";1;"yes."
"b";39;5e-04;"u";"g";"cc";"v";3,5;"t";"t";10;"t";"g";0;0;0;"t";1;"yes."
"b";22,08;0,0011;"u";"g";"cc";"v";0,665;"t";"f";0;"f";"g";100;0;1e+06;NA;1;"yes."
"b";28,25;0,0005125;"u";"g";"x";"v";4,75;"t";"t";2;"f";"g";420;7;4200000;NA;1;"yes."
"a";18,83;0,0004415;"y";"p";"c";"h";3;"t";"f";0;"f";"g";240;0;2400000;"f";1;"yes."
"a";28,67;0,000104;"u";"g";"c";"v";2,5;"t";"t";5;"t";"g";300;1430;3e+06;NA;1;"yes."
"a";22,5;0,000846;"y";"p";"x";"v";2,46;"f";"f";0;"f";"g";164;0;1640000;"f";1;"yes."
"b";NA;0,00105;"u";"g";"x";"v";6,5;"t";"f";0;"f";"g";0;0;0;"f";1;"yes."
"b";36,08;0,000254;"u";"g";"ff";"ff";0;"f";"f";0;"f";"g";0;1000;0;NA;0;"no."
NA;40,83;0,00035;"u";"g";"i";"bb";0,5;"f";"f";0;"f";"s";1160;0;11600000;"f";0;"no."
"b";20;0,000125;"y";"p";"k";"v";0,125;"f";"f";0;"f";"g";140;4;1400000;NA;0;"no."
"b";43,25;0,002521;"u";"g";"q";"h";0,21;"t";"t";1;"f";"g";760;90;7600000;NA;0;"no."
"b";52,33;0,0001375;"y";"p";"c";"h";9,46;"t";"f";0;"t";"g";200;100;2e+06;NA;0;"no."
"b";19,33;0,0010915;"u";"g";"c";"bb";0,585;"f";"t";2;"t";"g";200;7;2e+06;NA;0;"no."
"b";23,58;4,6e-05;"y";"p";"W";"v";2,625;"t";"t";6;"t";"g";208;347;2080000;"t";0;"no."
"b";69,17;9e-04;"u";"g";"ff";"ff";4;"f";"t";1;"f";"g";70;6;7e+05;NA;0;"no."
"a";24,92;0,000125;"u";"g";"ff";"ff";0;"t";"f";0;"f";"g";80;0;8e+05;"f";0;"no."
"a";23,58;5,85e-05;"y";"p";"ff";"ff";0,125;"f";"f";0;"f";"g";120;87;1200000;"f";0;"no."
"b";20;0;"u";"g";"d";"v";0,5;"f";"f";0;"f";"g";144;0;1440000;NA;0;"no."
"a";32;6e-04;"u";"g";"d";"v";1,25;"f";"f";0;"f";"g";272;0;2720000;NA;0;"no."
"b";27,83;1e-04;"y";"p";"d";"h";3;"f";"f";0;"f";"g";176;537;1760000;NA;0;"no."
"b";29,83;0,000125;"y";"p";"k";"v";0,25;"f";"f";0;"f";"g";224;0;2240000;"f";0;"no."
"b";25,67;2,9e-05;"y";"p";"c";"v";1,5;"f";"f";0;"t";"g";160;0;1600000;"f";0;"no."
"b";31,25;0,0002835;"u";"g";"ff";"ff";0;"f";"t";5;"f";"g";176;146;1760000;NA;0;"no."
"b";23,08;0,00025;"u";"g";"ff";"ff";0,085;"f";"f";0;"t";"g";100;4208;1e+06;NA;0;"no."
"b";31;0,0002085;"u";"g";"c";"v";0,085;"f";"f";0;"f";"g";300;0;3e+06;NA;0;"no."
"b";22,17;5,85e-05;"y";"p";"ff";"ff";0;"f";"f";0;"f";"g";100;0;1e+06;NA;0;"no."
"b";NA;4e-04;"y";"p";"i";"v";0,085;"f";"f";0;"t";"g";411;0;4110000;"f";0;"no."
"b";45,17;0,00015;"u";"g";"c";"v";2,5;"t";"f";0;"t";"g";140;0;1400000;NA;0;"no."
"b";24,58;0,00135;"y";"p";"ff";"ff";0;"f";"f";0;"f";"g";NA;0;NA;"f";0;"no."
"b";33,67;0,000125;"u";"g";"W";"v";1,165;"f";"f";0;"f";"g";120;0;1200000;NA;0;"no."
"b";40,58;0,00015;"u";"g";"i";"bb";0;"f";"f";0;"f";"s";300;0;3e+06;NA;0;"no."
"b";16,33;0,0004085;"u";"g";"i";"h";0,415;"f";"f";0;"t";"g";120;0;1200000;NA;0;"no."
"b";35,75;0,0002415;"u";"g";"W";"v";0,125;"f";"t";2;"f";"g";220;1;2200000;"t";0;"no."
"a";NA;0,00015;"u";"g";"ff";"ff";0;"f";"t";2;"t";"g";200;105;2e+06;NA;0;"no."
"b";49,58;0,0019;"u";"g";"ff";"ff";0;"t";"t";1;"f";"g";94;0;940000;NA;0;"no."
"a";30,25;0,00055;"u";"g";"k";"v";5,5;"f";"f";0;"t";"s";100;0;1e+06;NA;0;"no."
"b";34,67;0,000108;"u";"g";"m";"v";1,165;"f";"f";0;"f";"s";28;0;280000;"f";0;"no."
"a";50,25;8,35e-05;"u";"g";"aa";"v";0,5;"f";"f";0;"t";"g";240;117;2400000;"f";0;"no."
"b";NA;3e-04;"y";"p";"i";"bb";7;"f";"f";0;"f";"g";0;1;0;"f";0;"no."
"a";57,58;2e-04;"u";"g";"ff";"ff";6,5;"f";"t";1;"f";"g";0;10;0;"t";0;"no."
"a";24,83;0,00045;"u";"g";"W";"v";1;"f";"f";0;"t";"g";360;6;3600000;"f";0;"no."
"b";22,25;9e-04;"u";"g";"aa";"v";0,085;"f";"f";0;"f";"g";0;0;0;"f";0;"no."
"b";21,08;0,0010085;"y";"p";"e";"h";1,25;"f";"f";0;"f";"g";260;0;2600000;NA;0;"no."
"a";52,17;0;"y";"p";"ff";"ff";0;"f";"f";0;"f";"g";0;0;0;NA;0;"no."
"a";23,58;0,00115;"y";"p";"k";"h";3;"f";"f";0;"t";"g";20;16;2e+05;"f";0;"no."
"b";21,5;0,000975;"u";"g";"c";"v";0,25;"t";"f";0;"f";"g";140;0;1400000;NA;0;"no."
"a";28,5;0,000304;"y";"p";"x";"h";2,54;"t";"t";1;"f";"g";70;0;7e+05;NA;1;"yes."
"b";19,17;0,00095;"u";"g";"W";"v";1,5;"t";"f";0;"f";"g";120;2206;1200000;NA;1;"yes."
"a";21,5;6e-04;"u";"g";"aa";"v";2,5;"t";"t";3;"f";"g";80;918;8e+05;"t";1;"yes."
"b";17,5;0,0022;"l";"gg";"ff";"o";0;"f";"f";0;"t";"p";450;100000;4500000;"f";1;"yes."
"b";26,67;0,000271;"y";"p";"cc";"v";5,25;"t";"t";1;"f";"g";211;0;2110000;NA;1;"yes."
"b";34,42;0,000425;"u";"g";"i";"bb";3,25;"t";"t";2;"f";"g";274;610;2740000;"t";1;"yes."
"b";73,42;0,001775;"u";"g";"ff";"ff";0;"t";"f";0;"t";"g";0;0;0;"f";1;"yes."
"a";23;0,001175;"u";"g";"x";"h";0,5;"t";"t";2;"t";"g";300;551;3e+06;NA;1;"yes."
"b";23,08;0,00025;"u";"g";"c";"v";1,085;"t";"t";11;"t";"g";60;2184;6e+05;NA;1;"yes."
"b";19,42;0,00065;"u";"g";"W";"h";1,46;"t";"t";7;"f";"g";80;2954;8e+05;"t";1;"yes."
"b";23,33;0,0011625;"y";"p";"W";"v";0,835;"t";"f";0;"t";"g";160;300;1600000;NA;1;"yes."
"b";42,17;0,000504;"u";"g";"q";"h";12,75;"t";"f";0;"t";"g";92;0;920000;NA;1;"yes."
"b";21,25;0,00015;"u";"g";"W";"v";1,5;"f";"f";0;"f";"g";150;8;1500000;NA;1;"yes."
"b";34,17;0,000525;"u";"g";"W";"v";0,085;"f";"f";0;"t";"g";290;6;2900000;NA;1;"yes."
"a";47,75;8e-04;"u";"g";"c";"v";7,875;"t";"t";6;"t";"g";0;1260;0;"t";1;"yes."
"a";44,33;0;"u";"g";"c";"v";2,5;"t";"f";0;"f";"g";0;0;0;NA;1;"yes."
"b";39,5;0,000425;"u";"g";"c";"bb";6,5;"t";"t";16;"f";"g";117;1210;1170000;"t";1;"yes."
"a";41,17;0,00065;"u";"g";"q";"v";0,5;"t";"t";3;"t";"g";145;0;1450000;NA;1;"yes."
"b";29,92;0,0001835;"u";"g";"c";"h";4,335;"t";"f";0;"f";"g";260;200;2600000;"f";1;"yes."
"b";23,17;0;NA;NA;NA;NA;0;"f";"f";0;"f";"p";NA;0;NA;"f";1;"yes."
"b";35,17;0,00025;"u";"g";"k";"v";4,5;"t";"t";7;"f";"g";150;1270;1500000;"t";1;"yes."
"a";19,17;0,0008585;"u";"g";"cc";"h";0,75;"t";"t";7;"f";"g";96;0;960000;NA;1;"yes."
"b";52,5;0,00065;"u";"g";"k";"v";6,29;"t";"t";15;"f";"g";0;11202;0;"t";1;"yes."
"b";39,92;0,000621;"u";"g";"q";"v";0,04;"t";"t";1;"f";"g";200;300;2e+06;"t";1;"yes."
"b";21,33;0,00105;"u";"g";"c";"v";3;"t";"f";0;"t";"g";0;0;0;NA;1;"yes."
"a";35,75;9,15e-05;"u";"g";"aa";"v";0,75;"t";"t";4;"f";"g";0;1583;0;"t";1;"yes."
"b";67,75;0,00055;"u";"g";"e";"z";13;"t";"t";1;"t";"g";0;0;0;"t";1;"yes."
"b";32,67;9e-04;"y";"p";"W";"h";5,25;"t";"f";0;"t";"g";154;0;1540000;"f";1;"yes."
"b";49,5;0,0007585;"u";"g";"i";"bb";7,585;"t";"t";15;"t";"g";0;5000;0;"t";1;"yes."
"b";21;3e-04;"y";"p";"d";"v";1,085;"t";"t";8;"t";"g";160;1;1600000;"t";1;"yes."
"a";52,5;7e-04;"u";"g";"aa";"h";3;"f";"f";0;"f";"g";0;0;0;"f";0;"no."
"a";33,25;3e-04;"y";"p";"aa";"v";2;"f";"f";0;"f";"g";180;0;1800000;NA;0;"no."
"b";18,33;0,000121;"y";"p";"e";"dd";0;"f";"f";0;"f";"g";100;0;1e+06;"f";0;"no."
"b";29,5;5,8e-05;"u";"g";"W";"v";0,29;"f";"t";1;"f";"g";340;2803;3400000;"t";0;"no."
"b";22,17;0,000225;"u";"g";"i";"v";0,125;"f";"f";0;"f";"g";160;10;1600000;NA;0;"no."
"b";22,92;1,7e-05;"u";"g";"m";"v";0,085;"f";"f";0;"f";"s";0;0;0;"f";0;"no."
"b";19,42;0,000725;"u";"g";"m";"v";0,04;"f";"t";1;"f";"g";100;1;1e+06;NA;0;"no."
"b";26,17;0,00125;"y";"p";"k";"h";1,25;"f";"f";0;"t";"g";0;17;0;NA;0;"no."
"b";27,58;0,000325;"y";"p";"q";"h";5,085;"f";"t";2;"t";"g";369;1;3690000;"t";0;"no."
"b";16;0,0003125;"u";"g";"W";"v";0,085;"f";"t";1;"f";"g";0;6;0;NA;0;"no."
"a";28,58;0,000375;"u";"g";"c";"v";0,25;"f";"t";1;"t";"g";40;154;4e+05;NA;0;"no."
"a";38,75;0,00015;"u";"g";"ff";"ff";0;"f";"f";0;"f";"g";76;0;760000;NA;0;"no."
"b";32,08;4e-04;"y";"p";"cc";"v";1,5;"f";"f";0;"t";"g";120;0;1200000;"f";0;"no."
"b";18,25;1,65e-05;"u";"g";"d";"v";0,25;"f";"f";0;"t";"s";280;0;2800000;NA;0;"no."
"a";21,75;0,000175;"y";"p";"j";"j";0;"f";"f";0;"f";"g";160;0;1600000;NA;0;"no."
"b";18,58;0,000571;"u";"g";"d";"v";0,54;"f";"f";0;"f";"g";120;0;1200000;"f";0;"no."
"b";23;7,5e-05;"u";"g";"m";"v";0,5;"f";"f";0;"t";"s";320;0;3200000;"f";0;"no."
"a";22,67;7,5e-05;"u";"g";"c";"v";2;"f";"t";2;"t";"g";200;394;2e+06;NA;0;"no."
NA;33,17;0,000225;"y";"p";"cc";"v";3,5;"f";"f";0;"t";"g";200;141;2e+06;"f";0;"no."
"b";23;6,25e-05;"y";"p";"aa";"v";0,125;"t";"f";0;"f";"g";180;1;1800000;NA;0;"no."
"b";22,25;4,6e-05;"u";"g";"k";"v";0,125;"f";"f";0;"t";"g";280;55;2800000;NA;0;"no."
NA;28,17;5,85e-05;"u";"g";"aa";"v";0,04;"f";"f";0;"f";"g";260;1004;2600000;"f";0;"no."
"a";53,33;1,65e-05;"u";"g";"ff";"ff";0;"f";"f";0;"t";"s";62;27;620000;"f";0;"no."
"a";24,5;0,0002415;"y";"p";"c";"v";0;"f";"f";0;"f";"g";120;0;1200000;"f";0;"no."
"b";25,92;8,75e-05;"u";"g";"k";"v";0,375;"f";"t";2;"t";"g";174;3;1740000;"t";0;"no."
"b";16,33;0,000275;"u";"g";"aa";"v";0,665;"f";"t";1;"f";"g";80;21;8e+05;"t";0;"no."
