"v1","v2","v3","v4","v6","v7","v8","v9","v10","v11","v12","v14","v15","classLabel"
"a",-0.8246597277822261,0.8850977499077832,"u","q","v",-0.702054794520548,"t","t",5,"t",0,560,"yes."
"b",0.02321857485988784,-0.5368867576540022,"y","c","h",-0.33105022831050235,"t","t",1,"t",180,18027,"yes."
"b",-0.07045636509207387,-0.7748063445223164,"y","e","h",-0.7876712328767124,"t","f",0,"t",393,0,"yes."
"a",0.6365092073658923,0.746772408705275,"u","q","h",-0.3972602739726028,"t","f",0,"f",29,837,"yes."
"b",2.144915932746197,-0.8135374400590188,"u","q","v",-0.7682648401826485,"t","f",0,"t",260,0,"yes."
"b",0.7702161729383504,-0.19107340464773154,"y","W","v",-0.07420091324200917,"t","f",0,"t",52,1442,"yes."
"a",-0.38430744595676575,1.6689413500553303,"y","e","z",-0.7968036529680366,"t","f",0,"f",0,13212,"yes."
"a",0.3899119295436347,-0.08317963850977492,"u","q","v",-0.7682648401826485,"t","f",0,"t",228,0,"yes."
"b",1.6845476381104882,0.6776097381040208,"u","e","v",1.1815068493150682,"t","t",5,"f",0,0,"yes."
"b",1.1841473178542834,-1.0440796753965327,"u","c","bb",2.627853881278539,"t","t",20,"f",0,15000,"yes."
"b",-0.7710168134507608,-0.9131316857248247,"u","c","v",-0.6061643835616439,"t","f",0,"f",300,0,"yes."
"b",-0.8174539631705365,-0.6291036517890078,"y","c","h",-0.2066210045662101,"t","f",0,"f",0,0,"yes."
"b",1.7373899119295433,0.6388786425673183,"u","ff","ff",2.4942922374429224,"t","t",11,"t",30,300,"yes."
"b",0.10968775020015992,-0.5442641091848027,"u","cc","h",0.8961187214611872,"t","f",0,"t",0,0,"yes."
"b",-0.42433947157726215,-0.7213205459240134,"y","aa","v",-0.34018264840182655,"t","t",3,"t",370,560,"yes."
"a",1.0504403522818253,-0.35983032091479156,"u","j","j",-0.7968036529680366,"t","f",0,"f",100,960,"yes."
"a",2.2449959967974378,-0.1753965326447805,"u","aa","v",0.11643835616438351,"t","t",4,"f",0,99,"yes."
"a",1.1641313050440352,-0.5442641091848027,"u","x","v",2.3710045662100456,"t","t",2,"t",519,1704,"yes."
"b",0.35628502802241757,0.10125414976023604,"u","m","h",0.17351598173515978,"t","t",12,"t",93,0,"yes."
"a",0.029623698959167128,-0.6364810033198082,"y","c","v",-0.22602739726027402,"f","f",0,"t",0,2,"no."
"a",-0.6645316253002406,-0.9739948358539285,"u","aa","h",-0.3972602739726028,"t","f",0,"f",400,0,"no."
"b",-0.8847077662129706,-0.8135374400590188,"u","k","v",-0.7773972602739727,"f","f",0,"t",356,0,"no."
"b",-1.4179343474779824,0.19347104389524164,"u","e","v",-0.5684931506849316,"f","f",0,"f",600,0,"no."
"b",-0.7974379503602883,-0.5138325341202509,"y","c","v",-0.7591324200913243,"f","f",0,"f",160,1058,"no."
"a",2.931945556445156,0.009037255625230462,"u","ff","ff",-0.7968036529680366,"f","f",0,"f",0,0,"no."
"b",0.00960768614891893,-0.6364810033198082,"y","W","v",0.8013698630136986,"f","f",0,"t",280,0,"no."
"a",-0.791032826261009,-0.7591294725193657,"u","j","j",-0.7968036529680366,"f","t",1,"f",200,53,"no."
"b",-0.8710968775020018,-0.9518627812615272,"u","W","v",-0.7305936073059361,"f","t",1,"f",420,283,"no."
"b",-0.6509207365892716,-0.99797122832903,"u","m","v",-0.5684931506849316,"f","f",0,"t",120,1,"no."
"b",-0.9711769415532427,-0.15971966064182969,"y","j","v",-0.7305936073059361,"f","f",0,"f",140,184,"no."
"b",-0.791032826261009,-0.9592401327923277,"u","m","v",-0.6826484018264841,"t","f",0,"t",320,0,"no."
"b",-0.977582065652522,-0.9435632607893767,"y","c","v",-0.34018264840182655,"f","f",0,"t",240,0,"no."
"b",1.2706164931945554,3.759498340095906,"y","ff","ff",-0.7968036529680366,"t","f",0,"t",0,0,"no."
"b",1.517213771016813,-0.5442641091848027,"y","ff","ff",-0.45433789954337905,"f","f",0,"f",180,4,"no."
"b",-0.8110488390712572,1.0234230911102915,"u","i","v",-0.702054794520548,"f","f",0,"f",0,0,"no."
"a",-1.1977582065652523,0.7855035042419772,"u","ff","ff",-0.7968036529680366,"f","f",0,"f",0,50,"no."
"a",-0.4171337069655725,-0.7213205459240134,"u","W","v",-0.7397260273972603,"f","f",0,"t",180,50,"no."
"b",-0.33066453162530046,-0.8209147915898194,"y","c","v",-0.45433789954337905,"t","f",0,"t",0,225,"no."
"b",0.3899119295436347,0.19347104389524164,"u","q","h",1.8287671232876712,"t","t",7,"t",300,5,"no."
"b",-0.33066453162530046,-0.882700110660273,"u","k","v",-0.6826484018264841,"t","f",0,"f",280,0,"no."
"b",-0.7510008006405126,-0.5903725562523054,"u","ff","ff",0.23059360730593603,"f","f",0,"f",160,25,"no."
"a",-0.27061649319455583,-0.897454813721874,"y","x","v",-0.5684931506849316,"f","f",0,"f",280,13,"no."
"a",-0.07686148919135315,-0.5212098856510513,"u","ff","ff",-0.10273972602739731,"f","t",2,"t",200,4,"no."
"b",-1.124899919935949,-1.0210254518627813,"y","c","v",-0.7591324200913243,"f","t",1,"f",200,1,"no."
"b",-0.490792634107286,-0.2676134267797861,"y","c","bb",-0.22602739726027402,"f","f",0,"f",200,1210,"no."
"a",-0.4571657325860689,-0.8670232386573221,"u","ff","ff",-0.7968036529680366,"f","t",1,"f",92,300,"no."
"b",1.144115292233787,-0.021394319439321206,"u","W","v",0.45890410958904104,"f","f",0,"f",465,150,"no."
"b",-0.7309847878302644,-1.0210254518627813,"y","c","v",-0.7876712328767124,"f","t",2,"f",128,6,"no."
"b",0.6965572457966369,-0.7748063445223164,"u","k","v",-0.7488584474885845,"t","f",0,"f",160,0,"no."
"b",-0.5244195356285032,1.300073773515308,"u","e","dd",-0.7968036529680366,"f","f",0,"t",140,1110,"no."
"b",0.5236188951160928,-0.7821836960531169,"y","m","v",-0.7591324200913243,"f","f",0,"f",400,0,"no."
"b",0.18975180144115272,-0.5138325341202509,"u","x","h",0.05936073059360726,"t","f",0,"t",680,0,"no."
"b",-1.124899919935949,-0.44466986351899673,"y","ff","ff",-0.7968036529680366,"f","f",0,"t",180,1,"no."
"b",0.9567654123298636,0.19347104389524164,"y","c","v",-0.42579908675799094,"f","f",0,"f",160,2,"no."
"b",1.430744595676541,-0.9896717078568795,"u","ff","ff",-0.7968036529680366,"f","f",0,"f",145,0,"no."
"b",-1.0976781425140112,-0.35983032091479156,"y","i","v",-0.5684931506849316,"f","f",0,"t",360,1000,"no."
"b",-0.9111289031224982,1.0234230911102915,"u","i","v",-0.6826484018264841,"t","f",0,"t",100,68,"no."
"a",-0.9975980784627703,-0.9435632607893767,"u","q","v",-0.43493150684931514,"t","t",1,"f",0,0,"yes."
"a",0.9039231385108085,0.1316857248247879,"u","q","v",0.886986301369863,"t","t",3,"t",0,0,"yes."
"b",0.14971977582065632,1.6689413500553303,"u","r","n",0.43036529680365293,"t","t",9,"t",0,134,"yes."
"b",-0.991192954363491,0.746772408705275,"y","c","v",-0.22602739726027402,"t","f",0,"f",40,0,"yes."
"b",-0.8174539631705365,-1.067133898930284,"u","c","j",-0.28310502283105027,"f","f",0,"t",0,0,"yes."
"b",-0.8646917534027225,-0.9444854297307268,"u","c","h",-0.3025114155251142,"f","f",0,"t",128,0,"yes."
"b",0.796637309847878,-0.24455920324603464,"u","q","v",0.24885844748858446,"t","f",0,"f",0,0,"yes."
"a",-1.1176941553242594,0.6084470675027667,"y","c","v",-0.5684931506849316,"t","t",4,"t",80,500,"yes."
"a",-0.977582065652522,-0.5442641091848027,"u","q","v",-0.7591324200913243,"t","t",3,"f",100,6,"yes."
"a",-0.044035228182546376,-0.99797122832903,"u","cc","v",-0.7876712328767124,"t","f",0,"f",440,11177,"yes."
"b",-0.3170536429143315,1.6689413500553303,"u","c","h",0.42123287671232873,"t","t",11,"f",0,2283,"yes."
"a",1.597277822257806,1.6689413500553303,"u","c","v",0.45890410958904104,"t","t",14,"f",0,2200,"yes."
"a",-0.977582065652522,-0.7591294725193657,"u","q","v",-0.32077625570776264,"t","t",5,"f",220,2503,"yes."
"b",0.26981585268214553,-0.1753965326447805,"u","c","bb",-0.22602739726027402,"t","t",6,"f",0,367,"yes."
"a",-1.00480384307446,0.746772408705275,"u","c","h",-0.5684931506849316,"t","t",4,"f",50,1465,"yes."
"b",-0.5708566853482788,-0.9592401327923277,"u","c","bb",-0.7397260273972603,"t","f",0,"f",349,23,"yes."
"a",-0.3771016813450761,-1.0284028033935817,"u","q","v",-0.6632420091324202,"t","t",4,"f",80,0,"yes."
"b",-0.7173738991192955,-0.9749170047952784,"u","c","v",-0.7591324200913243,"f","f",0,"f",100,0,"yes."
"b",1.8510808646917531,1.2078568793803026,"u","k","h",1.0296803652968036,"t","f",0,"t",24,2028,"yes."
"a",-0.9711769415532427,0.7928808557727778,"u","q","v",-0.634703196347032,"t","t",2,"t",49,0,"yes."
"a",-0.19055244195356305,0.10125414976023604,"u","c","bb",0.11643835616438351,"t","t",7,"t",0,3065,"yes."
"a",1.0368294635708564,0.8389893028402803,"u","q","v",0.34474885844748854,"t","t",7,"t",0,0,"yes."
"b",0.48999199359487566,-0.1753965326447805,"u","cc","v",0.0022831050228310015,"t","t",10,"t",0,0,"yes."
"b",-0.8646917534027225,0.9312061969752861,"u","cc","v",-0.6449771689497718,"t","f",0,"f",100,0,"yes."
"b",-0.3706965572457968,-0.15234230911102906,"u","x","v",0.2876712328767123,"t","t",2,"f",420,7,"yes."
"a",-1.124899919935949,-0.283290298782737,"y","c","h",-0.11187214611872151,"t","f",0,"f",240,0,"yes."
"a",-0.33706965572457975,-0.9057543341940243,"u","c","v",-0.22602739726027402,"t","t",5,"t",300,1430,"yes."
"a",-0.8310648518815054,0.46274437476945773,"y","x","v",-0.23515981735159824,"f","f",0,"f",164,0,"yes."
"b",0.2562049639711766,-0.6291036517890078,"u","ff","ff",-0.7968036529680366,"f","f",0,"f",0,1000,"no."
"b",-1.0312249799839874,-0.8670232386573221,"y","k","v",-0.7682648401826485,"f","f",0,"f",140,4,"no."
"b",0.830264211369095,3.5520103282921434,"u","q","h",-0.7488584474885845,"t","t",1,"f",760,90,"no."
"b",1.5572457966373094,-0.8439690151235706,"y","c","h",1.363013698630137,"t","f",0,"t",200,100,"no."
"b",-1.0848678943154526,0.9155293249723351,"u","c","bb",-0.6632420091324202,"f","t",2,"t",200,7,"no."
"b",-0.7445956765412333,-1.0127259313906307,"y","W","v",-0.1974885844748859,"t","t",6,"t",208,347,"no."
"b",2.9055244195356282,0.5623386204352637,"u","ff","ff",0.11643835616438351,"f","t",1,"f",70,6,"no."
"a",-0.6373098478783027,-0.8670232386573221,"u","ff","ff",-0.7968036529680366,"t","f",0,"f",80,0,"no."
"a",-0.7445956765412333,-0.9896717078568795,"y","ff","ff",-0.7682648401826485,"f","f",0,"f",120,87,"no."
"b",-1.0312249799839874,-1.097565473994836,"u","d","v",-0.6826484018264841,"f","f",0,"f",144,0,"no."
"a",-0.07045636509207387,0.009037255625230462,"u","d","v",-0.5114155251141553,"f","f",0,"f",272,0,"no."
"b",-0.4043234587670139,-0.9131316857248247,"y","d","h",-0.11187214611872151,"f","f",0,"f",176,537,"no."
"b",-0.24419535628502836,-0.8670232386573221,"y","k","v",-0.7397260273972603,"f","f",0,"f",224,0,"no."
"b",-0.5772618094475581,-1.0440796753965327,"y","c","v",-0.45433789954337905,"f","f",0,"t",160,0,"no."
"b",-0.13050440352281845,-0.5746956842493545,"u","ff","ff",-0.7968036529680366,"f","t",5,"f",176,146,"no."
"b",-0.7846277021617297,-0.6364810033198082,"u","ff","ff",-0.7773972602739727,"f","f",0,"t",100,4208,"no."
"b",-0.15052041633306665,-0.7130210254518627,"u","c","v",-0.7773972602739727,"f","f",0,"f",300,0,"no."
"b",-0.8574859887910329,-0.9896717078568795,"y","ff","ff",-0.7968036529680366,"f","f",0,"f",100,0,"no."
"b",0.9839871897518013,-0.8209147915898194,"u","c","v",-0.22602739726027402,"t","f",0,"t",140,0,"no."
"b",0.06325060048038424,-0.8670232386573221,"u","W","v",-0.5308219178082192,"f","f",0,"f",120,0,"no."
"b",0.6164931945556441,-0.8209147915898194,"u","i","bb",-0.7968036529680366,"f","f",0,"f",300,0,"no."
"b",-1.3250600480384311,-0.34415344891184063,"u","i","h",-0.702054794520548,"f","f",0,"t",120,0,"no."
"b",0.2297838270616491,-0.6521578753227593,"u","W","v",-0.7682648401826485,"f","t",2,"f",220,1,"no."
"b",1.3370696557245794,2.4066765031353743,"u","ff","ff",-0.7968036529680366,"t","t",1,"f",94,0,"no."
"a",-0.21056845476381125,-0.08317963850977492,"u","k","v",0.45890410958904104,"f","f",0,"t",100,0,"no."
"b",0.14331465172137703,-0.898376982663224,"u","m","v",-0.5308219178082192,"f","f",0,"f",28,0,"no."
"a",1.3907125700560445,-0.9435632607893767,"u","aa","v",-0.6826484018264841,"f","f",0,"t",240,117,"no."
"a",1.9775820656525216,-0.7286978974548138,"u","ff","ff",0.687214611872146,"f","t",1,"f",0,10,"no."
"a",-0.6445156124899923,-0.2676134267797861,"u","W","v",-0.5684931506849316,"f","f",0,"t",360,6,"no."
"b",-0.8510808646917536,0.5623386204352637,"u","aa","v",-0.7773972602739727,"f","f",0,"f",0,0,"no."
"b",-0.9447558046437153,0.7624492807082259,"y","e","h",-0.5114155251141553,"f","f",0,"f",260,0,"no."
"a",1.5444355484387509,-1.097565473994836,"y","ff","ff",-0.7968036529680366,"f","f",0,"f",0,0,"no."
"a",-0.7445956765412333,1.0234230911102915,"y","k","h",-0.11187214611872151,"f","f",0,"t",20,16,"no."
"b",-0.9111289031224982,0.700663961637772,"u","c","v",-0.7397260273972603,"t","f",0,"f",140,0,"no."
"a",-0.35068054443554864,-0.5368867576540022,"y","x","h",-0.21689497716894982,"t","t",1,"f",70,0,"yes."
"b",-1.0976781425140112,0.6545555145702694,"u","W","v",-0.45433789954337905,"t","f",0,"f",120,2206,"yes."
"a",-0.9111289031224982,0.009037255625230462,"u","aa","v",-0.22602739726027402,"t","t",3,"f",80,918,"yes."
"b",-1.2313851080864693,2.9599778679454083,"l","ff","o",-0.7968036529680366,"f","f",0,"t",450,100000,"yes."
"b",-0.4971977582065653,-0.597749907783106,"y","cc","v",0.4018264840182648,"t","t",1,"f",211,0,"yes."
"b",0.12329863891112883,-0.3137218738472889,"u","i","bb",-0.05479452054794526,"t","t",2,"f",274,610,"yes."
"b",3.245796637309848,2.176134267797861,"u","ff","ff",-0.7968036529680366,"t","f",0,"t",0,0,"yes."
"a",-0.791032826261009,1.0695315381777943,"u","x","h",-0.6826484018264841,"t","t",2,"t",300,551,"yes."
"b",-0.7846277021617297,-0.6364810033198082,"u","c","v",-0.5490867579908677,"t","t",11,"t",60,2184,"yes."
"b",-1.077662129703763,0.10125414976023604,"u","W","h",-0.46347031963470325,"t","t",7,"f",80,2954,"yes."
"b",-0.7646116893514815,1.0464773146440427,"y","W","v",-0.6061643835616439,"t","f",0,"t",160,300,"yes."
"b",0.743795036028823,-0.1680191811139801,"u","q","h",2.1141552511415527,"t","f",0,"t",92,0,"yes."
"b",-0.9311449159327464,-0.8209147915898194,"u","W","v",-0.45433789954337905,"f","f",0,"f",150,8,"yes."
"b",0.10328262610088064,-0.1292880855772778,"u","W","v",-0.7773972602739727,"f","f",0,"t",290,6,"yes."
"a",1.1905524419535627,0.3779048321652528,"u","c","v",1.0011415525114156,"t","t",6,"t",0,1260,"yes."
"a",0.9167333867093671,-1.097565473994836,"u","c","v",-0.22602739726027402,"t","f",0,"f",0,0,"yes."
"b",0.5300240192153721,-0.3137218738472889,"u","c","bb",0.687214611872146,"t","t",16,"f",117,1210,"yes."
"a",0.6637309847878302,0.10125414976023604,"u","q","v",-0.6826484018264841,"t","t",3,"t",145,0,"yes."
"b",-0.23698959167333875,-0.7591294725193657,"u","c","h",0.1929223744292237,"t","f",0,"f",260,200,"yes."
"b",0.18334667734187343,-0.6364810033198082,"u","k","v",0.23059360730593603,"t","t",7,"f",150,1270,"yes."
"a",-1.0976781425140112,0.4857985983032092,"u","cc","h",-0.6255707762557078,"t","t",7,"f",96,0,"yes."
"b",1.5708566853482784,0.10125414976023604,"u","k","v",0.639269406392694,"t","t",15,"f",0,11202,"yes."
"b",0.5636509207365892,0.04776835116193293,"u","q","v",-0.7876712328767124,"t","t",1,"f",200,300,"yes."
"b",-0.9247397918334671,0.8389893028402803,"u","c","v",-0.11187214611872151,"t","f",0,"t",0,0,"yes."
"a",0.2297838270616491,-0.9288085577277758,"u","aa","v",-0.6255707762557078,"t","t",4,"f",0,1583,"yes."
"b",2.7918334667734186,-0.08317963850977492,"u","e","z",2.171232876712329,"t","t",1,"t",0,0,"yes."
"b",-0.016813450760608556,0.5623386204352637,"y","W","h",0.4018264840182648,"t","f",0,"t",154,0,"yes."
"b",1.3306645316253,0.30136481003319804,"u","i","bb",0.934931506849315,"t","t",15,"t",0,5000,"yes."
"b",-0.9511609287429946,-0.5442641091848027,"y","d","v",-0.5490867579908677,"t","t",8,"t",160,1,"yes."
"a",1.5708566853482784,0.19347104389524164,"u","aa","h",-0.11187214611872151,"f","f",0,"f",0,0,"no."
"a",0.029623698959167128,-0.5442641091848027,"y","aa","v",-0.34018264840182655,"f","f",0,"f",180,0,"no."
"b",-1.1649319455564455,-0.8744005901881226,"y","e","dd",-0.7968036529680366,"f","f",0,"f",100,0,"no."
"b",-0.27061649319455583,-0.9905938767982295,"u","W","v",-0.7305936073059361,"f","t",1,"f",340,2803,"no."
"b",-0.8574859887910329,-0.682589450387311,"u","i","v",-0.7682648401826485,"f","f",0,"f",160,10,"no."
"b",-0.7974379503602883,-1.066211729988934,"u","m","v",-0.7773972602739727,"f","f",0,"f",0,0,"no."
"b",-1.077662129703763,0.2395794909627443,"u","m","v",-0.7876712328767124,"f","t",1,"f",100,1,"no."
"b",-0.5372297838270617,1.2078568793803026,"y","k","h",-0.5114155251141553,"f","f",0,"t",0,17,"no."
"b",-0.42433947157726215,-0.49815566211729995,"y","q","h",0.36415525114155245,"f","t",2,"t",369,1,"no."
"b",-1.3514811849479587,-0.5212098856510513,"u","W","v",-0.7773972602739727,"f","t",1,"f",0,6,"no."
"a",-0.34427542033626934,-0.40593876798229434,"u","c","v",-0.7397260273972603,"f","t",1,"t",40,154,"no."
"a",0.4699759807846275,-0.8209147915898194,"u","ff","ff",-0.7968036529680366,"f","f",0,"f",76,0,"no."
"b",-0.06405124099279458,-0.35983032091479156,"y","cc","v",-0.45433789954337905,"f","f",0,"t",120,0,"no."
"b",-1.1713370696557248,-1.067133898930284,"u","d","v",-0.7397260273972603,"f","f",0,"t",280,0,"no."
"a",-0.8911128903122499,-0.7748063445223164,"y","j","j",-0.7968036529680366,"f","f",0,"f",160,0,"no."
"b",-1.1449159327461973,-0.04444854297307265,"u","d","v",-0.6735159817351599,"f","f",0,"f",120,0,"no."
"b",-0.791032826261009,-0.9592401327923277,"u","m","v",-0.6826484018264841,"f","f",0,"t",320,0,"no."
"a",-0.8174539631705365,-0.9592401327923277,"u","c","v",-0.34018264840182655,"f","t",2,"t",200,394,"no."
"b",-0.791032826261009,-0.9822943563260791,"y","aa","v",-0.7682648401826485,"t","f",0,"f",180,1,"no."
"b",-0.8510808646917536,-1.0127259313906307,"u","k","v",-0.7682648401826485,"f","f",0,"t",280,55,"no."
"a",1.6373098478783024,-1.067133898930284,"u","ff","ff",-0.7968036529680366,"f","f",0,"t",62,27,"no."
"a",-0.6709367493995199,-0.6521578753227593,"y","c","v",-0.7968036529680366,"f","f",0,"f",120,0,"no."
"b",-0.5572457966373099,-0.9361859092585763,"u","k","v",-0.7111872146118722,"f","t",2,"t",174,3,"no."
"b",-1.3250600480384311,-0.5903725562523054,"u","aa","v",-0.6449771689497718,"f","t",1,"f",80,21,"no."
"b",0.08967173738991173,-0.2676134267797861,"u","aa","v",-0.5684931506849316,"t","f",0,"t",240,0,"no."
"b",1.3042433947157726,-0.6752120988565105,"u","ff","ff",-0.7305936073059361,"f","f",0,"f",200,3,"no."
"a",-0.7510008006405126,-0.8209147915898194,"u","W","v",-0.5970319634703197,"f","f",0,"t",160,0,"no."
"a",-1.0648518815052044,-0.9749170047952784,"u","W","v",-0.41666666666666674,"f","f",0,"f",220,5,"no."
"b",-0.9375500400320257,-1.097565473994836,"u","c","v",-0.6826484018264841,"f","f",0,"t",0,0,"no."
"a",0.4363490792634104,-0.283290298782737,"u","c","v",-0.7682648401826485,"f","f",0,"f",160,0,"no."
"b",0.3698959167333865,-0.9435632607893767,"u","e","v",-0.7876712328767124,"f","f",0,"f",120,5,"no."
"a",-0.9447558046437153,-0.1753965326447805,"y","ff","ff",-0.7968036529680366,"f","f",0,"f",0,0,"no."
"b",-0.39071257005604504,-0.5442641091848027,"u","W","v",-0.6255707762557078,"f","f",0,"t",300,67,"no."
"b",-0.6172938350680545,-0.5442641091848027,"u","c","v",-0.5114155251141553,"f","t",1,"f",0,22,"no."
"b",0.0032025620496396435,-0.6364810033198082,"u","aa","v",-0.3972602739726028,"f","t",2,"t",720,0,"no."
"a",-0.8110488390712572,0.03946883068978233,"u","aa","v",-0.7591324200913243,"f","f",0,"f",220,1000,"no."
"b",-0.3706965572457968,-0.9361859092585763,"u","m","v",-0.5776255707762558,"t","t",3,"t",396,0,"yes."
"b",0.10328262610088064,-0.8135374400590188,"u","cc","v",-0.44520547945205485,"t","t",1,"t",520,50000,"yes."
"b",-0.07686148919135315,-0.2749907783105865,"u","cc","h",0.5821917808219178,"t","t",3,"f",311,300,"yes."
"a",-0.27061649319455583,-1.0127259313906307,"u","k","v",-0.6735159817351599,"t","t",4,"f",380,500,"yes."
"b",-0.7774219375500401,-1.097565473994836,"u","cc","v",-0.7773972602739727,"t","f",0,"f",0,0,"yes."
"a",-1.1849479583666938,-1.0284028033935817,"l","cc","ff",1.4863013698630136,"f","f",0,"t",300,0,"yes."
"a",-0.6509207365892716,-0.5442641091848027,"u","q","h",-0.37785388127853886,"t","t",19,"f",0,500,"yes."
"a",-0.9647718174539635,-0.5442641091848027,"u","aa","v",-0.7876712328767124,"t","f",0,"f",100,0,"yes."
"b",-0.39071257005604504,-0.7286978974548138,"u","k","h",0.15410958904109584,"t","t",2,"t",181,0,"yes."
